target name	accession	query name	accession2	E-value_full_sequence	score_full_sequence	bias_full_sequence	E-value_best_first_domain	score_best_first_domain	bias_best_first_domain	exp	reg	clu	ov	env	dom	rep	inc	Description_target
GCA_000008085-CALJACFG_03600	-	COG1328	-	4.4e-119	395.8	0.0	5.7e-119	395.4	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14190	-	COG1405	-	2.7e-119	394.9	3.6	3.2e-119	394.6	3.6	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_02140	-	COG0018	-	2e-118	393.5	3.7	2.5e-118	393.2	3.7	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_02530	-	COG2511	-	2.6e-118	393.2	3.3	2.9e-118	393.1	3.3	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00710	-	COG1498	-	3.5e-118	391.8	3.7	4e-118	391.6	3.7	1.1	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_05730	-	COG1697	-	1.3e-117	390.1	3.4	1.4e-117	389.9	3.4	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04900	-	COG1257	-	2e-117	389.4	0.5	2.4e-117	389.1	0.5	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03990	-	COG0413	-	1.4e-117	388.6	0.5	1.6e-117	388.5	0.5	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03180	-	COG1138	-	8.5e-117	388.2	35.4	1.2e-115	384.5	35.4	1.9	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06680	-	COG0119	-	7.2e-117	388.0	0.1	9.4e-117	387.6	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01920	-	COG0064	-	8.4e-117	387.9	2.4	9.8e-117	387.7	2.4	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14470	-	COG0505	-	5.8e-117	387.6	0.0	6.4e-117	387.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09180	-	COG3958	-	1.1e-116	386.0	0.1	1.2e-116	385.8	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09540	-	COG0147	-	2e-115	383.2	0.0	2.6e-115	382.8	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01640	-	COG0303	-	1.8e-115	382.9	3.6	2.7e-115	382.4	3.6	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06600	-	COG0519	-	5.1e-115	381.9	0.4	6.4e-115	381.6	0.4	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11180	-	COG1060	-	4.2e-115	381.7	0.0	4.9e-115	381.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01390	-	COG0206	-	1.2e-114	380.2	1.7	1.5e-114	379.9	1.7	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01930	-	COG1222	-	2e-114	379.9	3.7	2.5e-114	379.5	3.7	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_08790	-	COG0441	-	5.8e-114	378.8	0.7	7e-114	378.5	0.7	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03680	-	COG0442	-	1.1e-113	378.0	0.7	2.3e-56	188.8	0.0	2.0	2	0	0	2	2	2	2	-
GCA_000017945-FLGBHGLA_09990	-	COG3379	-	1.2e-113	377.4	0.1	1.5e-113	377.2	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10870	-	COG0063	-	1.4e-113	377.3	8.3	1.6e-113	377.1	8.3	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05620	-	COG1008	-	3e-112	372.6	57.5	3.6e-112	372.4	57.5	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_02480	-	COG0495	-	5.9e-112	372.2	9.8	3.2e-69	230.9	3.5	3.0	1	1	1	2	2	2	2	-
GCA_000008085-CALJACFG_01760	-	COG0470	-	3.3e-112	371.9	0.5	4e-112	371.6	0.5	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03920	-	COG1042	-	2.7e-111	370.3	0.0	3e-111	370.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01620	-	COG0085	-	3.5e-111	369.6	0.0	5.2e-105	349.2	0.0	2.2	1	1	1	2	2	2	2	-
GCA_000017945-FLGBHGLA_05270	-	COG0373	-	4e-111	369.0	6.6	5.3e-111	368.7	6.6	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02530	-	COG1474	-	4.4e-111	368.8	1.1	5.6e-111	368.5	1.1	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_05210	-	COG0532	-	1.7e-110	367.7	7.0	8.3e-110	365.4	7.0	1.8	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14770	-	COG0165	-	1.5e-110	367.4	0.0	1.8e-110	367.1	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02130	-	COG2123	-	5.4e-111	366.8	0.0	6.1e-111	366.7	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05910	-	COG0367	-	3.2e-110	366.8	0.0	3.8e-110	366.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12090	-	COG0371	-	2.4e-110	365.8	0.0	2.8e-110	365.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12190	-	COG1867	-	4.2e-110	365.1	0.0	5.3e-110	364.8	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03820	-	COG3425	-	6.8e-110	364.6	0.1	7.5e-110	364.5	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14480	-	COG0183	-	8e-110	364.5	0.1	9.4e-110	364.2	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06250	-	COG1236	-	9e-110	364.3	0.0	1.1e-109	364.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06630	-	COG4034	-	1.5e-109	363.2	2.8	1.8e-109	363.0	2.8	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00220	-	COG1203	-	4.4e-109	362.7	0.0	5.4e-109	362.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11500	-	COG1444	-	4.1e-109	362.7	0.0	6.7e-109	362.1	0.0	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13500	-	COG2521	-	2.5e-109	361.8	0.0	2.7e-109	361.7	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13750	-	COG4608	-	1.2e-108	360.0	0.0	1.5e-108	359.7	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00360	-	COG1328	-	4e-108	359.5	0.0	5.3e-108	359.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04660	-	COG1701	-	1.7e-108	358.5	0.1	1.9e-108	358.3	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12900	-	COG1423	-	6.1e-108	357.9	0.0	7.2e-108	357.6	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01100	-	COG0124	-	1.5e-107	357.2	0.1	1.8e-107	357.0	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12880	-	COG0119	-	4.2e-107	355.8	5.0	5.1e-107	355.6	5.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06450	-	COG0381	-	2.8e-106	353.0	0.0	3.3e-106	352.8	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09730	-	COG4992	-	3.4e-106	352.5	0.0	4.3e-106	352.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01070	-	COG1117	-	3e-106	351.4	0.0	3.3e-106	351.2	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14620	-	COG1293	-	2.4e-105	350.6	8.5	2.8e-105	350.4	8.5	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13400	-	COG0470	-	1.2e-105	350.3	0.0	1.4e-105	350.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05720	-	COG0452	-	2.4e-105	349.6	0.1	3e-105	349.3	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11360	-	COG0005	-	1.4e-105	349.1	0.0	1.8e-105	348.8	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05050	-	COG0309	-	3.3e-105	348.3	0.4	3.7e-105	348.2	0.4	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01150	-	COG1867	-	9.6e-105	347.5	0.1	1.1e-104	347.3	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_04960	-	COG0206	-	1.7e-104	346.8	7.5	2.1e-104	346.5	7.5	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02600	-	COG0365	-	6.8e-104	345.7	0.7	8.8e-104	345.3	0.7	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09020	-	COG2107	-	2.2e-104	345.2	0.0	2.7e-104	344.9	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_02170	-	COG0442	-	1.2e-103	344.8	6.8	2e-56	189.0	2.6	2.1	2	0	0	2	2	2	2	-
GCA_000017945-FLGBHGLA_02010	-	COG0527	-	1.2e-103	344.3	0.0	1.5e-103	344.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_04880	-	COG0595	-	3.3e-103	343.3	4.1	4.1e-103	343.0	4.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13890	-	COG1503	-	3e-103	342.7	0.8	3.4e-103	342.5	0.8	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09150	-	COG1992	-	4.2e-103	342.3	0.0	4.7e-103	342.2	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06540	-	COG1899	-	5.6e-103	341.4	0.0	6.1e-103	341.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01670	-	COG0151	-	1.4e-102	340.7	3.3	1.7e-102	340.4	3.3	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02030	-	COG0252	-	1e-102	340.6	0.0	1.4e-102	340.2	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02560	-	COG1537	-	1.1e-102	340.6	3.1	1.2e-102	340.4	3.1	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00530	-	COG1503	-	1.8e-102	340.1	0.4	2.1e-102	339.9	0.4	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14890	-	COG0547	-	1.8e-102	340.0	0.1	2.1e-102	339.8	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06640	-	COG0379	-	2.5e-102	339.1	0.0	2.8e-102	338.9	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09450	-	COG0154	-	6.4e-102	339.1	0.0	7.3e-102	338.9	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09750	-	COG0075	-	4.6e-102	338.9	0.1	5.5e-102	338.7	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14660	-	COG0621	-	5.5e-102	338.8	0.0	6.3e-102	338.6	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14130	-	COG1740	-	6.2e-102	338.0	0.0	6.9e-102	337.9	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_02830	-	COG1405	-	7.2e-102	337.6	0.1	8.3e-102	337.4	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00080	-	COG0621	-	3.3e-101	336.3	0.0	3.6e-101	336.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_08680	-	COG1602	-	3.3e-101	336.1	0.0	4.1e-101	335.8	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06210	-	COG0034	-	4.5e-101	335.9	0.0	6.9e-100	332.0	0.0	1.9	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11770	-	COG1750	-	9.8e-101	335.4	18.5	1.1e-100	335.3	18.5	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14000	-	COG1244	-	2.1e-100	332.7	0.8	2.5e-100	332.5	0.8	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11130	-	COG4346	-	7e-100	331.7	20.3	8.4e-100	331.5	20.3	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07200	-	COG1500	-	3.3e-100	331.0	9.1	3.6e-100	330.9	9.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13280	-	COG0128	-	1.8e-99	330.5	0.0	2.2e-99	330.2	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06010	-	COG0031	-	1.8e-99	329.9	1.7	2.2e-99	329.6	1.7	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_04420	-	COG0301	-	3e-99	329.6	0.2	3.8e-99	329.3	0.2	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06310	-	COG1269	-	1.2e-98	328.3	35.3	3.2e-88	293.9	27.8	2.0	1	1	1	2	2	2	2	-
GCA_000017945-FLGBHGLA_09360	-	COG1632	-	2.5e-99	327.6	9.8	3.1e-99	327.3	9.8	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12380	-	COG0123	-	1.9e-98	326.8	0.0	2.2e-98	326.6	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00180	-	COG0337	-	8.6e-98	324.7	0.0	1.1e-97	324.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_04180	-	COG1899	-	7.7e-98	324.5	0.0	8.5e-98	324.4	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10770	-	COG1084	-	8.1e-98	324.5	0.0	9.2e-98	324.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_03570	-	COG1498	-	1.7e-97	323.8	0.1	2.1e-97	323.5	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05030	-	COG1313	-	1.3e-97	323.5	0.0	1.6e-97	323.1	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07900	-	COG1093	-	1.2e-97	323.1	3.8	1.4e-97	322.9	3.8	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03900	-	COG0141	-	3.3e-97	323.0	2.5	6.8e-97	322.0	2.5	1.4	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03890	-	COG0111	-	2.1e-97	322.9	3.6	2.3e-97	322.8	3.6	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_05350	-	COG1793	-	6e-97	322.8	1.3	7.7e-97	322.4	1.3	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_05520	-	COG4027	-	4.1e-97	322.5	1.4	6.8e-79	262.4	0.4	2.0	2	0	0	2	2	2	2	-
GCA_000017945-FLGBHGLA_12920	-	COG1831	-	2.6e-97	322.4	0.0	2.9e-97	322.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14640	-	COG1889	-	2.9e-97	321.1	0.0	3.4e-97	320.9	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12030	-	COG0142	-	2.8e-96	319.7	3.5	3.1e-96	319.5	3.5	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12580	-	COG0719	-	5.6e-96	319.2	0.0	6.8e-96	318.9	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14290	-	COG1509	-	4.4e-96	318.8	0.1	6.1e-96	318.3	0.1	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12970	-	COG0674	-	1e-95	317.9	3.1	1.3e-95	317.5	3.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12120	-	COG0552	-	1.3e-95	317.2	4.8	1.6e-95	316.9	4.8	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14570	-	COG1471	-	5.9e-96	317.1	0.1	6.7e-96	316.9	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03310	-	COG1517	-	2.3e-94	314.3	19.7	4.7e-94	313.3	19.7	1.5	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00050	-	COG5014	-	8.4e-95	313.6	0.0	9.2e-95	313.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07710	-	COG0620	-	8.4e-94	311.7	0.0	1.1e-93	311.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01840	-	COG0441	-	4.8e-93	309.7	3.6	8.5e-93	308.9	3.6	1.3	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00470	-	COG0550	-	1.2e-92	308.4	0.0	1.5e-92	308.2	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09060	-	COG0124	-	1.3e-92	308.0	0.9	1.5e-92	307.8	0.9	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07440	-	COG2419	-	7.5e-93	307.9	0.0	9e-93	307.7	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00540	-	COG2265	-	2.1e-92	307.8	0.0	2.8e-92	307.4	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13060	-	COG3959	-	5.8e-93	307.8	0.0	6.1e-93	307.7	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06070	-	COG0020	-	1.6e-92	306.6	2.1	1.9e-92	306.3	2.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07540	-	COG0411	-	1.6e-92	306.3	0.1	1.8e-92	306.2	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12210	-	COG0426	-	1.3e-91	304.6	0.1	1.6e-91	304.3	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10210	-	COG1355	-	9.6e-92	304.0	0.0	1.1e-91	303.8	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00450	-	COG0540	-	1.5e-91	303.6	0.0	1.7e-91	303.4	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_05660	-	COG3270	-	3e-91	303.5	0.0	3.7e-91	303.2	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_08980	-	COG1260	-	1.7e-90	300.7	0.0	2.1e-90	300.4	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01310	-	COG1889	-	6.2e-91	300.4	0.0	7.5e-91	300.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_04430	-	COG0630	-	4.1e-90	299.9	1.0	5.3e-90	299.5	1.0	1.1	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01180	-	COG1163	-	3.2e-90	299.8	8.0	2.3e-63	211.4	0.8	2.0	1	1	1	2	2	2	2	-
GCA_000017945-FLGBHGLA_08480	-	COG0434	-	2.6e-90	299.2	0.5	2.9e-90	299.0	0.5	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09710	-	COG1793	-	1e-89	298.9	0.5	1.2e-89	298.7	0.5	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03510	-	COG0104	-	1.1e-89	298.3	1.5	2e-43	145.9	0.1	3.0	1	1	2	3	3	3	3	-
GCA_000017945-FLGBHGLA_12470	-	COG2237	-	1e-89	298.3	10.2	1.2e-89	298.1	10.2	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00040	-	COG2419	-	9.9e-90	297.7	5.8	1.1e-89	297.5	5.8	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05690	-	COG0043	-	1.5e-88	294.4	0.1	6.6e-88	292.3	0.1	1.7	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05560	-	COG1055	-	1.9e-88	294.2	48.6	3.4e-88	293.4	48.6	1.3	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04320	-	COG2413	-	6.5e-88	290.8	0.4	7.3e-88	290.7	0.4	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11090	-	COG0674	-	3.8e-87	289.6	0.2	4.9e-87	289.2	0.2	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05440	-	COG5557	-	4.7e-87	289.4	40.9	6e-87	289.1	40.9	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03330	-	COG1353	-	8.4e-87	289.3	0.0	1.4e-86	288.6	0.0	1.3	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_08560	-	COG1055	-	7.5e-87	288.9	27.9	9.2e-87	288.6	27.9	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01650	-	COG1136	-	3.7e-87	288.4	0.0	4.6e-87	288.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01580	-	COG1746	-	1.6e-86	287.7	0.5	2e-86	287.3	0.5	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07070	-	COG0181	-	1.3e-86	287.5	0.0	1.6e-86	287.2	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00210	-	COG1488	-	2.6e-86	287.3	0.0	1.2e-85	285.2	0.0	1.8	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02150	-	COG1097	-	2.4e-86	285.5	3.0	2.9e-86	285.2	3.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10230	-	COG1222	-	9e-86	285.5	0.1	1.1e-85	285.2	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04860	-	COG2998	-	6e-86	284.5	0.0	7.3e-86	284.2	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07550	-	COG0410	-	7.9e-86	283.8	0.6	9e-86	283.6	0.6	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06170	-	COG0044	-	4.4e-85	283.5	0.0	5.4e-85	283.2	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09520	-	COG4879	-	2e-85	283.0	3.4	2.2e-85	282.9	3.4	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11740	-	COG1857	-	3.5e-85	282.8	0.0	4.3e-85	282.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12660	-	COG0016	-	6.6e-85	282.4	0.0	1e-84	281.8	0.0	1.2	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05570	-	COG1685	-	4.5e-85	282.1	0.1	6e-85	281.6	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03000	-	COG2414	-	1.2e-84	281.9	0.0	1.6e-84	281.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14880	-	COG1907	-	8.7e-85	281.5	0.0	9.7e-85	281.4	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14370	-	COG0303	-	2.7e-84	280.3	0.5	3.5e-84	280.0	0.5	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_05010	-	COG1471	-	1.1e-84	280.2	0.0	1.2e-84	280.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_02190	-	COG0013	-	5.4e-84	279.9	2.8	1.5e-83	278.4	2.8	1.5	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02910	-	COG1976	-	1.5e-84	279.7	3.3	1.7e-84	279.5	3.3	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_03040	-	COG0585	-	1e-83	278.5	0.1	1.8e-83	277.7	0.1	1.4	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06530	-	COG4001	-	2.1e-83	277.6	0.0	4e-83	276.6	0.0	1.3	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02690	-	COG0533	-	1.8e-83	277.1	0.0	2.1e-83	276.9	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01630	-	COG1084	-	2.2e-83	277.0	6.5	2.5e-83	276.8	6.5	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03110	-	COG0077	-	2.6e-83	276.6	0.0	3.1e-83	276.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12570	-	COG0396	-	1.9e-83	276.4	0.0	2.4e-83	276.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11430	-	COG0008	-	1.1e-82	275.8	0.0	1.3e-82	275.5	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_05180	-	COG0533	-	5.3e-83	275.6	0.0	6.3e-83	275.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00020	-	COG0277	-	1.4e-82	275.3	0.0	1.7e-82	274.9	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00680	-	COG0144	-	5.7e-82	273.6	0.0	6.6e-82	273.4	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_04390	-	COG1136	-	3.6e-82	272.1	0.0	4.4e-82	271.8	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_08160	-	COG1756	-	4.3e-82	271.4	0.0	4.8e-82	271.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02860	-	COG2262	-	1.3e-80	268.5	0.0	1.7e-80	268.2	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05780	-	COG1635	-	9.9e-81	268.0	3.0	1.1e-80	267.9	3.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_08900	-	COG1890	-	1.5e-80	266.5	1.1	1.7e-80	266.3	1.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01940	-	COG0168	-	1.3e-79	265.4	38.3	1.5e-79	265.1	38.3	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_04250	-	COG1269	-	2.4e-79	264.6	22.0	1.9e-76	255.0	21.4	2.6	1	1	1	2	2	2	2	-
GCA_000017945-FLGBHGLA_13950	-	COG1712	-	1e-79	264.5	0.8	1.1e-79	264.4	0.8	1.0	1	0	0	1	1	1	1	-
