locus_tag	ftype	length_bp	gene	EC_number	COG	product
FLGBHGLA_02460	gene	2670	rpoA1			
FLGBHGLA_02470	CDS	1269	rpoA2	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit A''
FLGBHGLA_02470	gene	1269	rpoA2			
FLGBHGLA_02480	CDS	318			COG1911	50S ribosomal protein L30e
FLGBHGLA_02480	gene	318				
FLGBHGLA_02490	CDS	432				hypothetical protein
FLGBHGLA_02490	gene	432				
FLGBHGLA_02500	CDS	444			COG0048	30S ribosomal protein S12
FLGBHGLA_02500	gene	444				
FLGBHGLA_02510	CDS	471				hypothetical protein
FLGBHGLA_02510	gene	471				
FLGBHGLA_02520	CDS	588	rps7		COG0049	30S ribosomal protein S7
FLGBHGLA_02520	gene	588	rps7			
FLGBHGLA_02530	CDS	1212	cdc6-1		COG1474	ORC1-type DNA replication protein 1
FLGBHGLA_02530	gene	1212	cdc6-1			
FLGBHGLA_02540	CDS	453				hypothetical protein
FLGBHGLA_02540	gene	453				
FLGBHGLA_02550	CDS	897	prs_1	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
FLGBHGLA_02550	gene	897	prs_1			
FLGBHGLA_02560	CDS	1041	pelA	3.1.-.-	COG1537	Protein pelota 
FLGBHGLA_02560	gene	1041	pelA			
FLGBHGLA_02570	CDS	234				hypothetical protein
FLGBHGLA_02570	gene	234				
FLGBHGLA_02580	CDS	426			COG0589	Universal stress protein
FLGBHGLA_02580	gene	426				
FLGBHGLA_02590	CDS	1239	acsA	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
FLGBHGLA_02590	gene	1239	acsA			
FLGBHGLA_02600	CDS	768		6.2.1.36	COG0365	3-hydroxypropionyl-coenzyme A synthetase
FLGBHGLA_02600	gene	768				
FLGBHGLA_02610	CDS	417				hypothetical protein
FLGBHGLA_02610	gene	417				
FLGBHGLA_02620	CDS	750				hypothetical protein
FLGBHGLA_02620	gene	750				
FLGBHGLA_02630	CDS	663	moaE	2.8.1.-	COG0314	putative molybdopterin synthase
FLGBHGLA_02630	gene	663	moaE			
FLGBHGLA_02640	CDS	1467	cimA_1	2.3.1.182	COG0119	(R)-citramalate synthase CimA
FLGBHGLA_02640	gene	1467	cimA_1			
FLGBHGLA_02650	CDS	186				hypothetical protein
FLGBHGLA_02650	gene	186				
FLGBHGLA_02660	CDS	300				hypothetical protein
FLGBHGLA_02660	gene	300				
FLGBHGLA_02670	CDS	384				hypothetical protein
FLGBHGLA_02670	gene	384				
FLGBHGLA_02680	CDS	1449				hypothetical protein
FLGBHGLA_02680	gene	1449				
FLGBHGLA_02690	CDS	990	kae1	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
FLGBHGLA_02690	gene	990	kae1			
FLGBHGLA_02700	CDS	516				hypothetical protein
FLGBHGLA_02700	gene	516				
FLGBHGLA_02710	CDS	1395				hypothetical protein
FLGBHGLA_02710	gene	1395				
FLGBHGLA_02720	CDS	648	faeB-hpsB		COG0269	Bifunctional enzyme Fae/Hps
FLGBHGLA_02720	gene	648	faeB-hpsB			
FLGBHGLA_02730	CDS	177			COG1998	30S ribosomal protein S27ae
FLGBHGLA_02730	gene	177				
FLGBHGLA_02740	CDS	318			COG2004	30S ribosomal protein S24e
FLGBHGLA_02740	gene	318				
FLGBHGLA_02750	CDS	225			COG1383	30S ribosomal protein S17e
FLGBHGLA_02750	gene	225				
FLGBHGLA_02760	CDS	1104	dadD_1	3.5.4.31		5'-deoxyadenosine deaminase
FLGBHGLA_02760	gene	1104	dadD_1			
FLGBHGLA_02770	CDS	1227	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
FLGBHGLA_02770	gene	1227	pgk			
FLGBHGLA_02780	CDS	186				hypothetical protein
FLGBHGLA_02780	gene	186				
FLGBHGLA_02790	CDS	1686	tfrA	1.3.4.1	COG1053	Fumarate reductase (CoM/CoB) subunit A
FLGBHGLA_02790	gene	1686	tfrA			
FLGBHGLA_02800	CDS	1188				hypothetical protein
FLGBHGLA_02800	gene	1188				
FLGBHGLA_02810	CDS	1155		3.1.-.-	COG0420	DNA double-strand break repair protein Mre11
FLGBHGLA_02810	gene	1155				
FLGBHGLA_02820	CDS	360				hypothetical protein
FLGBHGLA_02820	gene	360				
FLGBHGLA_02830	CDS	648	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
FLGBHGLA_02830	gene	648	aroD			
FLGBHGLA_02840	CDS	372	ubiE_1	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
FLGBHGLA_02840	gene	372	ubiE_1			
FLGBHGLA_02850	CDS	192				hypothetical protein
FLGBHGLA_02850	gene	192				
FLGBHGLA_02860	CDS	1119	hflX		COG2262	GTPase HflX
FLGBHGLA_02860	gene	1119	hflX			
FLGBHGLA_02870	CDS	468			COG2238	30S ribosomal protein S19e
FLGBHGLA_02870	gene	468				
FLGBHGLA_02880	CDS	351			COG2118	DNA-binding protein
FLGBHGLA_02880	gene	351				
FLGBHGLA_02890	CDS	159			COG2167	50S ribosomal protein L39e
FLGBHGLA_02890	gene	159				
FLGBHGLA_02900	CDS	306			COG2097	50S ribosomal protein L31e
FLGBHGLA_02900	gene	306				
FLGBHGLA_02910	CDS	672	eif6		COG1976	Translation initiation factor 6
FLGBHGLA_02910	gene	672	eif6			
FLGBHGLA_02920	CDS	1068	aglF	2.7.7.9	COG1209	UTP--glucose-1-phosphate uridylyltransferase AglF
FLGBHGLA_02920	gene	1068	aglF			
FLGBHGLA_02930	CDS	288				hypothetical protein
FLGBHGLA_02930	gene	288				
FLGBHGLA_02940	CDS	285				hypothetical protein
FLGBHGLA_02940	gene	285				
FLGBHGLA_02950	CDS	570	trmY_1	2.1.1.257	COG1901	tRNA (pseudouridine(54)-N(1))-methyltransferase
FLGBHGLA_02950	gene	570	trmY_1			
FLGBHGLA_02960	CDS	1488				hypothetical protein
FLGBHGLA_02960	gene	1488				
FLGBHGLA_02970	CDS	822				hypothetical protein
FLGBHGLA_02970	gene	822				
FLGBHGLA_02980	CDS	594				hypothetical protein
FLGBHGLA_02980	gene	594				
FLGBHGLA_02990	CDS	921	map	3.4.11.18	COG0024	Methionine aminopeptidase
FLGBHGLA_02990	gene	921	map			
FLGBHGLA_03000	CDS	1905	gor	1.2.7.6	COG2414	Glyceraldehyde-3-phosphate:ferredoxin oxidoreductase
FLGBHGLA_03000	gene	1905	gor			
FLGBHGLA_03010	CDS	444				hypothetical protein
FLGBHGLA_03010	gene	444				
FLGBHGLA_03020	CDS	1086				hypothetical protein
FLGBHGLA_03020	gene	1086				
FLGBHGLA_03030	CDS	297				hypothetical protein
FLGBHGLA_03030	gene	297				
FLGBHGLA_03040	CDS	1131				hypothetical protein
FLGBHGLA_03040	gene	1131				
FLGBHGLA_03050	CDS	576	afung	3.2.2.27	COG1573	Type-4 uracil-DNA glycosylase
FLGBHGLA_03050	gene	576	afung			
FLGBHGLA_03060	CDS	1080				hypothetical protein
FLGBHGLA_03060	gene	1080				
FLGBHGLA_03070	CDS	276	purU	3.5.1.10		Formyltetrahydrofolate deformylase
FLGBHGLA_03070	gene	276	purU			
FLGBHGLA_03080	CDS	507	leuD_1	4.2.1.33	COG0066	Isopropylmalate/citramalate isomerase small subunit
FLGBHGLA_03080	gene	507	leuD_1			
FLGBHGLA_03090	CDS	492				hypothetical protein
FLGBHGLA_03090	gene	492				
	repeat_region	627				
FLGBHGLA_03100	CDS	801				hypothetical protein
FLGBHGLA_03100	gene	801				
FLGBHGLA_03110	CDS	936	pheA	4.2.1.51	COG0077	Prephenate dehydratase
FLGBHGLA_03110	gene	936	pheA			
FLGBHGLA_03120	CDS	246				hypothetical protein
FLGBHGLA_03120	gene	246				
FLGBHGLA_03130	CDS	1194	tiaS	6.3.4.22	COG1571	tRNA(Ile2) 2-agmatinylcytidine synthetase TiaS
FLGBHGLA_03130	gene	1194	tiaS			
FLGBHGLA_03140	CDS	351				hypothetical protein
FLGBHGLA_03140	gene	351				
FLGBHGLA_03150	CDS	951	purM	6.3.3.1		Phosphoribosylformylglycinamidine cyclo-ligase
FLGBHGLA_03150	gene	951	purM			
FLGBHGLA_03160	CDS	543				hypothetical protein
FLGBHGLA_03160	gene	543				
FLGBHGLA_03170	CDS	1659	thrS_1	6.1.1.3	COG0441	Threonine--tRNA ligase
FLGBHGLA_03170	gene	1659	thrS_1			
FLGBHGLA_03180	CDS	2925	ccsA_2			Cytochrome c biogenesis protein CcsA
FLGBHGLA_03180	gene	2925	ccsA_2			
FLGBHGLA_03190	CDS	1158		3.-.-.-	COG0624	putative metallohydrolase
FLGBHGLA_03190	gene	1158				
FLGBHGLA_03200	CDS	1467				hypothetical protein
FLGBHGLA_03200	gene	1467				
FLGBHGLA_03210	CDS	768		2.7.1.169	COG1829	Pantoate kinase
FLGBHGLA_03210	gene	768				
FLGBHGLA_03220	CDS	804				hypothetical protein
FLGBHGLA_03220	gene	804				
FLGBHGLA_03230	CDS	957	trm5b	2.1.1.228	COG2520	tRNA (guanine(37)-N1)-methyltransferase Trm5b
FLGBHGLA_03230	gene	957	trm5b			
FLGBHGLA_03240	CDS	1044				hypothetical protein
FLGBHGLA_03240	gene	1044				
FLGBHGLA_03250	CDS	171				hypothetical protein
FLGBHGLA_03250	gene	171				
FLGBHGLA_03260	CDS	1068				hypothetical protein
FLGBHGLA_03260	gene	1068				
FLGBHGLA_03270	CDS	591		2.1.1.-	COG0500	Protein-lysine N-methyltransferase
FLGBHGLA_03270	gene	591				
FLGBHGLA_03280	CDS	1248	eif2g		COG5257	Translation initiation factor 2 subunit gamma
FLGBHGLA_03280	gene	1248	eif2g			
FLGBHGLA_03290	CDS	1029				hypothetical protein
FLGBHGLA_03290	gene	1029				
FLGBHGLA_03300	CDS	705				hypothetical protein
FLGBHGLA_03300	gene	705				
FLGBHGLA_03310	CDS	1572			COG1517	CRISPR-associated protein Csx1
FLGBHGLA_03310	gene	1572				
FLGBHGLA_03320	CDS	837	cmr4_1		COG1336	CRISPR system CMR subunit Cmr4
FLGBHGLA_03320	gene	837	cmr4_1			
FLGBHGLA_03330	CDS	3078	cmr2_1		COG1353	CRISPR system CMR subunit Cmr2
FLGBHGLA_03330	gene	3078	cmr2_1			
FLGBHGLA_03340	CDS	1065				hypothetical protein
FLGBHGLA_03340	gene	1065				
FLGBHGLA_03350	CDS	417				hypothetical protein
FLGBHGLA_03350	gene	417				
FLGBHGLA_03360	CDS	1500	pyrG	6.3.4.2	COG0504	CTP synthase
FLGBHGLA_03360	gene	1500	pyrG			
FLGBHGLA_03370	CDS	1047	queE_3	4.3.99.3		7-carboxy-7-deazaguanine synthase
FLGBHGLA_03370	gene	1047	queE_3			
FLGBHGLA_03380	CDS	345				hypothetical protein
FLGBHGLA_03380	gene	345				
FLGBHGLA_03390	CDS	417	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
FLGBHGLA_03390	gene	417	purE			
FLGBHGLA_03400	CDS	603				hypothetical protein
FLGBHGLA_03400	gene	603				
FLGBHGLA_03410	CDS	519				hypothetical protein
FLGBHGLA_03410	gene	519				
FLGBHGLA_03420	CDS	636	nfi	3.1.21.7	COG1515	Endonuclease V
FLGBHGLA_03420	gene	636	nfi			
FLGBHGLA_03430	CDS	816	gdS-2	2.5.1.82	COG0142	Hexaprenyl pyrophosphate synthase
FLGBHGLA_03430	gene	816	gdS-2			
FLGBHGLA_03440	CDS	321				hypothetical protein
FLGBHGLA_03440	gene	321				
FLGBHGLA_03450	CDS	1155				hypothetical protein
FLGBHGLA_03450	gene	1155				
FLGBHGLA_03460	CDS	1467	ppcA	4.1.1.31	COG1892	Phosphoenolpyruvate carboxylase
FLGBHGLA_03460	gene	1467	ppcA			
FLGBHGLA_03470	CDS	1284		5.4.99.25	COG1258	tRNA pseudouridine synthase Pus10
FLGBHGLA_03470	gene	1284				
FLGBHGLA_03480	CDS	837	suhB	3.1.3.11	COG0483	Fructose-1,6-bisphosphatase/inositol-1-monophosphatase
FLGBHGLA_03480	gene	837	suhB			
FLGBHGLA_03490	CDS	660	pheT_1	6.1.1.20		Phenylalanine--tRNA ligase beta subunit
FLGBHGLA_03490	gene	660	pheT_1			
FLGBHGLA_03500	CDS	1398		1.18.1.2		Ferredoxin--NADP reductase
FLGBHGLA_03500	gene	1398				
FLGBHGLA_03510	CDS	1020	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
FLGBHGLA_03510	gene	1020	purA			
FLGBHGLA_03520	CDS	1137	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
FLGBHGLA_03520	gene	1137	tyrS			
FLGBHGLA_03530	CDS	345	tatA			Sec-independent protein translocase protein TatA
FLGBHGLA_03530	gene	345	tatA			
FLGBHGLA_03540	CDS	681	prs_2	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
FLGBHGLA_03540	gene	681	prs_2			
FLGBHGLA_03550	CDS	528				hypothetical protein
FLGBHGLA_03550	gene	528				
FLGBHGLA_03560	CDS	717		2.4.2.1	COG2820	Purine nucleoside phosphorylase
FLGBHGLA_03560	gene	717				
FLGBHGLA_03570	CDS	606				hypothetical protein
FLGBHGLA_03570	gene	606				
FLGBHGLA_03580	CDS	564				hypothetical protein
FLGBHGLA_03580	gene	564				
FLGBHGLA_03590	CDS	729	sfsA		COG1489	Sugar fermentation stimulation protein 
FLGBHGLA_03590	gene	729	sfsA			
FLGBHGLA_03600	CDS	642	hypB		COG0378	putative hydrogenase maturation factor HypB
FLGBHGLA_03600	gene	642	hypB			
FLGBHGLA_03610	CDS	120				hypothetical protein
FLGBHGLA_03610	gene	120				
FLGBHGLA_03620	CDS	525				hypothetical protein
FLGBHGLA_03620	gene	525				
FLGBHGLA_03630	CDS	225				hypothetical protein
FLGBHGLA_03630	gene	225				
FLGBHGLA_03640	CDS	555				hypothetical protein
FLGBHGLA_03640	gene	555				
FLGBHGLA_03650	CDS	681				hypothetical protein
FLGBHGLA_03650	gene	681				
FLGBHGLA_03660	CDS	753				hypothetical protein
FLGBHGLA_03660	gene	753				
FLGBHGLA_03670	CDS	501				hypothetical protein
FLGBHGLA_03670	gene	501				
FLGBHGLA_03680	CDS	1437	proS	6.1.1.15	COG0442	Proline--tRNA ligase
FLGBHGLA_03680	gene	1437	proS			
FLGBHGLA_03690	CDS	1164	fbp	3.1.3.11	COG1980	Fructose-1,6-bisphosphate aldolase/phosphatase
FLGBHGLA_03690	gene	1164	fbp			
FLGBHGLA_03700	CDS	1587	smc_1			Chromosome partition protein Smc
FLGBHGLA_03700	gene	1587	smc_1			
FLGBHGLA_03710	CDS	657				hypothetical protein
FLGBHGLA_03710	gene	657				
FLGBHGLA_03720	CDS	270				hypothetical protein
FLGBHGLA_03720	gene	270				
FLGBHGLA_03730	CDS	300				hypothetical protein
FLGBHGLA_03730	gene	300				
FLGBHGLA_03740	CDS	1266	rimO_1	2.8.4.4		Ribosomal protein S12 methylthiotransferase RimO
FLGBHGLA_03740	gene	1266	rimO_1			
FLGBHGLA_03750	CDS	1158		2.7.1.78	COG1341	Polyribonucleotide 5'-hydroxyl-kinase
FLGBHGLA_03750	gene	1158				
FLGBHGLA_03760	CDS	4026				hypothetical protein
FLGBHGLA_03760	gene	4026				
FLGBHGLA_03770	CDS	573				hypothetical protein
FLGBHGLA_03770	gene	573				
FLGBHGLA_03780	CDS	501				hypothetical protein
FLGBHGLA_03780	gene	501				
FLGBHGLA_03790	CDS	609	sua5	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
FLGBHGLA_03790	gene	609	sua5			
FLGBHGLA_03800	CDS	936	tatC			Sec-independent protein translocase protein TatC
FLGBHGLA_03800	gene	936	tatC			
FLGBHGLA_03810	CDS	504		3.6.1.-		Non-canonical purine NTP phosphatase
FLGBHGLA_03810	gene	504				
FLGBHGLA_03820	CDS	1044	hmgB	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
FLGBHGLA_03820	gene	1044	hmgB			
FLGBHGLA_03830	CDS	1062				hypothetical protein
FLGBHGLA_03830	gene	1062				
FLGBHGLA_03840	CDS	396				hypothetical protein
FLGBHGLA_03840	gene	396				
FLGBHGLA_03850	CDS	1425		6.2.1.40	COG0318	4-hydroxybutyrate--CoA ligase 2
FLGBHGLA_03850	gene	1425				
FLGBHGLA_03860	CDS	378				hypothetical protein
FLGBHGLA_03860	gene	378				
FLGBHGLA_03870	CDS	858				putative transporter in sor 3'region
FLGBHGLA_03870	gene	858				
FLGBHGLA_03880	CDS	312				hypothetical protein
FLGBHGLA_03880	gene	312				
FLGBHGLA_03890	CDS	927	gyaR	1.1.1.26	COG1052	Glyoxylate reductase
FLGBHGLA_03890	gene	927	gyaR			
FLGBHGLA_03900	CDS	1179	hisD	1.1.1.23		Histidinol dehydrogenase
FLGBHGLA_03900	gene	1179	hisD			
FLGBHGLA_03910	CDS	552		6.2.1.13	COG1042	Acetate--CoA ligase [ADP-forming] I
FLGBHGLA_03910	gene	552				
FLGBHGLA_03920	CDS	1368		6.2.1.13	COG1042	Acetate--CoA ligase [ADP-forming] I
FLGBHGLA_03920	gene	1368				
FLGBHGLA_03930	CDS	234				hypothetical protein
FLGBHGLA_03930	gene	234				
FLGBHGLA_03940	CDS	102				hypothetical protein
FLGBHGLA_03940	gene	102				
FLGBHGLA_03950	CDS	594	ubiX	2.5.1.-		Flavin prenyltransferase UbiX
FLGBHGLA_03950	gene	594	ubiX			
FLGBHGLA_03960	CDS	882				hypothetical protein
FLGBHGLA_03960	gene	882				
FLGBHGLA_03970	CDS	1074				hypothetical protein
FLGBHGLA_03970	gene	1074				
FLGBHGLA_03980	CDS	1245	mdtD			Putative multidrug resistance protein MdtD
FLGBHGLA_03980	gene	1245	mdtD			
FLGBHGLA_03990	CDS	792	panB	2.1.2.11		3-methyl-2-oxobutanoate hydroxymethyltransferase
FLGBHGLA_03990	gene	792	panB			
FLGBHGLA_04000	CDS	1455	rtcB	6.5.1.-	COG1690	tRNA-splicing ligase RtcB
FLGBHGLA_04000	gene	1455	rtcB			
FLGBHGLA_04010	CDS	1473				hypothetical protein
FLGBHGLA_04010	gene	1473				
FLGBHGLA_04020	CDS	531		3.5.1.124	COG0693	Deglycase
FLGBHGLA_04020	gene	531				
FLGBHGLA_04030	CDS	408	thrS-ed		COG0441	Threonine--tRNA ligase editing subunit
FLGBHGLA_04030	gene	408	thrS-ed			
FLGBHGLA_04040	CDS	1182	pqqE_2			Coenzyme PQQ synthesis protein E
FLGBHGLA_04040	gene	1182	pqqE_2			
FLGBHGLA_04050	CDS	1140	hutI	3.5.2.7		Imidazolonepropionase
FLGBHGLA_04050	gene	1140	hutI			
FLGBHGLA_04060	CDS	837	glmU_1		COG1208	Bifunctional protein GlmU
FLGBHGLA_04060	gene	837	glmU_1			
FLGBHGLA_04070	CDS	1338	fumC_1	4.2.1.2	COG0114	Fumarate hydratase class II
FLGBHGLA_04070	gene	1338	fumC_1			
FLGBHGLA_04080	CDS	309	cutA		COG1324	Divalent-cation tolerance protein CutA
FLGBHGLA_04080	gene	309	cutA			
FLGBHGLA_04090	CDS	288	gatC	6.3.5.-		Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
FLGBHGLA_04090	gene	288	gatC			
FLGBHGLA_04100	CDS	1101				hypothetical protein
FLGBHGLA_04100	gene	1101				
FLGBHGLA_04110	CDS	243				hypothetical protein
FLGBHGLA_04110	gene	243				
FLGBHGLA_04120	CDS	306				hypothetical protein
FLGBHGLA_04120	gene	306				
FLGBHGLA_04130	CDS	522				hypothetical protein
FLGBHGLA_04130	gene	522				
FLGBHGLA_04140	CDS	1122	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
FLGBHGLA_04140	gene	1122	aspC			
FLGBHGLA_04150	CDS	891	glmS_2	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
FLGBHGLA_04150	gene	891	glmS_2			
FLGBHGLA_04160	CDS	2154	fwdC	1.2.7.12	COG2218	Tungsten-containing formylmethanofuran dehydrogenase 2 subunit C
FLGBHGLA_04160	gene	2154	fwdC			
FLGBHGLA_04170	CDS	1038				hypothetical protein
FLGBHGLA_04170	gene	1038				
FLGBHGLA_04180	CDS	462				hypothetical protein
FLGBHGLA_04180	gene	462				
FLGBHGLA_04190	CDS	939			COG0491	Metallo-beta-lactamase fold-containing protein
FLGBHGLA_04190	gene	939				
FLGBHGLA_04200	CDS	804				hypothetical protein
FLGBHGLA_04200	gene	804				
FLGBHGLA_04210	CDS	561	thiI_1	2.8.1.4		tRNA sulfurtransferase
FLGBHGLA_04210	gene	561	thiI_1			
FLGBHGLA_04220	CDS	1137				hypothetical protein
FLGBHGLA_04220	gene	1137				
FLGBHGLA_04230	CDS	1077				hypothetical protein
FLGBHGLA_04230	gene	1077				
FLGBHGLA_04240	CDS	651	pgiA	5.3.1.9		Glucose-6-phosphate isomerase
FLGBHGLA_04240	gene	651	pgiA			
FLGBHGLA_04250	CDS	912	ubiA-2_1	2.5.1.42	COG0382	Digeranylgeranylglyceryl phosphate synthase
FLGBHGLA_04250	gene	912	ubiA-2_1			
FLGBHGLA_04260	CDS	264	albA2		COG1581	DNA/RNA-binding protein Alba 2
FLGBHGLA_04260	gene	264	albA2			
FLGBHGLA_04270	CDS	3264	rgy1		COG1110	Reverse gyrase 1
FLGBHGLA_04270	gene	3264	rgy1			
FLGBHGLA_04280	CDS	1563				hypothetical protein
FLGBHGLA_04280	gene	1563				
FLGBHGLA_04290	CDS	789	hdrB	1.8.98.1	COG2048	CoB--CoM heterodisulfide reductase subunit B
FLGBHGLA_04290	gene	789	hdrB			
FLGBHGLA_04300	CDS	675	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
FLGBHGLA_04300	gene	675	ribB			
FLGBHGLA_04310	CDS	279				hypothetical protein
FLGBHGLA_04310	gene	279				
FLGBHGLA_04320	CDS	663				hypothetical protein
FLGBHGLA_04320	gene	663				
FLGBHGLA_04330	CDS	1251	thiL_2	2.7.4.16		Thiamine-monophosphate kinase
FLGBHGLA_04330	gene	1251	thiL_2			
FLGBHGLA_04340	CDS	744		2.5.1.41	COG1646	Geranylgeranylglyceryl phosphate synthase
FLGBHGLA_04340	gene	744				
FLGBHGLA_04350	CDS	285				hypothetical protein
FLGBHGLA_04350	gene	285				
FLGBHGLA_04360	CDS	390				hypothetical protein
FLGBHGLA_04360	gene	390				
FLGBHGLA_04370	CDS	666	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
FLGBHGLA_04370	gene	666	rpiA			
FLGBHGLA_04380	CDS	159				hypothetical protein
FLGBHGLA_04380	gene	159				
FLGBHGLA_04390	CDS	243				hypothetical protein
FLGBHGLA_04390	gene	243				
FLGBHGLA_04400	CDS	1749				hypothetical protein
FLGBHGLA_04400	gene	1749				
FLGBHGLA_04410	CDS	288				hypothetical protein
FLGBHGLA_04410	gene	288				
FLGBHGLA_04420	CDS	753	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
FLGBHGLA_04420	gene	753	trpA			
FLGBHGLA_04430	CDS	186				hypothetical protein
FLGBHGLA_04430	gene	186				
FLGBHGLA_04440	CDS	483				hypothetical protein
FLGBHGLA_04440	gene	483				
FLGBHGLA_04450	CDS	249				hypothetical protein
FLGBHGLA_04450	gene	249				
FLGBHGLA_04460	CDS	132				hypothetical protein
FLGBHGLA_04460	gene	132				
FLGBHGLA_04470	CDS	1011				hypothetical protein
FLGBHGLA_04470	gene	1011				
FLGBHGLA_04480	CDS	771				hypothetical protein
FLGBHGLA_04480	gene	771				
FLGBHGLA_04490	CDS	714	arnS	2.7.11.1	COG0515	Serine/threonine-protein kinase ArnS
FLGBHGLA_04490	gene	714	arnS			
FLGBHGLA_04500	CDS	660				hypothetical protein
FLGBHGLA_04500	gene	660				
FLGBHGLA_04510	CDS	528		3.2.2.-	COG2110	[Protein ADP-ribosylglutamate] hydrolase
FLGBHGLA_04510	gene	528				
FLGBHGLA_04520	CDS	708				hypothetical protein
FLGBHGLA_04520	gene	708				
FLGBHGLA_04530	CDS	1098	aglD	2.4.1.-	COG0392	Glycosyltransferase AglD
FLGBHGLA_04530	gene	1098	aglD			
FLGBHGLA_04540	CDS	930				hypothetical protein
FLGBHGLA_04540	gene	930				
FLGBHGLA_04550	CDS	1044	purP_1	6.3.4.23	COG1759	5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase
FLGBHGLA_04550	gene	1044	purP_1			
FLGBHGLA_04560	CDS	456				hypothetical protein
FLGBHGLA_04560	gene	456				
FLGBHGLA_04570	CDS	390	guaB_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
FLGBHGLA_04570	gene	390	guaB_1			
FLGBHGLA_04580	CDS	960	tfrB	1.3.4.1	COG0247	Fumarate reductase (CoM/CoB) subunit B
FLGBHGLA_04580	gene	960	tfrB			
FLGBHGLA_04590	CDS	399				hypothetical protein
FLGBHGLA_04590	gene	399				
FLGBHGLA_04600	CDS	375				hypothetical protein
FLGBHGLA_04600	gene	375				
FLGBHGLA_04610	CDS	552				hypothetical protein
FLGBHGLA_04610	gene	552				
FLGBHGLA_04620	CDS	741				hypothetical protein
FLGBHGLA_04620	gene	741				
FLGBHGLA_04630	CDS	528				hypothetical protein
FLGBHGLA_04630	gene	528				
FLGBHGLA_04640	CDS	330				hypothetical protein
FLGBHGLA_04640	gene	330				
FLGBHGLA_04650	CDS	324			COG2058	50S ribosomal protein L12
FLGBHGLA_04650	gene	324				
FLGBHGLA_04660	CDS	750		6.3.2.36	COG1701	4-phosphopantoate--beta-alanine ligase
FLGBHGLA_04660	gene	750				
FLGBHGLA_04670	CDS	720	psmA	3.4.25.1	COG0638	Proteasome subunit alpha
FLGBHGLA_04670	gene	720	psmA			
FLGBHGLA_04680	CDS	1620	actP			Cation/acetate symporter ActP
FLGBHGLA_04680	gene	1620	actP			
FLGBHGLA_04690	CDS	210				hypothetical protein
FLGBHGLA_04690	gene	210				
FLGBHGLA_04700	CDS	423			COG0589	Universal stress protein
FLGBHGLA_04700	gene	423				
FLGBHGLA_04710	CDS	780	ubiA-2_2	2.5.1.42	COG0382	Digeranylgeranylglyceryl phosphate synthase
FLGBHGLA_04710	gene	780	ubiA-2_2			
FLGBHGLA_04720	CDS	726	queE_4	4.3.99.3		7-carboxy-7-deazaguanine synthase
FLGBHGLA_04720	gene	726	queE_4			
FLGBHGLA_04730	CDS	705		1.11.1.15	COG0450	Peroxiredoxin
FLGBHGLA_04730	gene	705				
FLGBHGLA_04740	CDS	831	cmr4_2	3.1.-.-	COG1336	CRISPR system Cmr endoribonuclease Cmr4
FLGBHGLA_04740	gene	831	cmr4_2			
FLGBHGLA_04750	CDS	609				hypothetical protein
FLGBHGLA_04750	gene	609				
FLGBHGLA_04760	CDS	912	cmr6		COG1604	CRISPR system CMR subunit Cmr6
FLGBHGLA_04760	gene	912	cmr6			
FLGBHGLA_04770	CDS	2952	cmr2_2		COG1353	CRISPR system CMR subunit Cmr2
FLGBHGLA_04770	gene	2952	cmr2_2			
FLGBHGLA_04780	CDS	975				hypothetical protein
FLGBHGLA_04780	gene	975				
FLGBHGLA_04790	CDS	1491	lysS	6.1.1.6	COG1384	Lysine--tRNA ligase
FLGBHGLA_04790	gene	1491	lysS			
	repeat_region	748				
FLGBHGLA_04800	CDS	606	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
FLGBHGLA_04800	gene	606	trpG			
FLGBHGLA_04810	CDS	567				hypothetical protein
FLGBHGLA_04810	gene	567				
FLGBHGLA_04820	CDS	636				hypothetical protein
FLGBHGLA_04820	gene	636				
FLGBHGLA_04830	CDS	441				hypothetical protein
FLGBHGLA_04830	gene	441				
